userid,college,status
dummystudent0,Stony Brook University,denied
dummystudent1,Stony Brook University,wait-listed
dummystudent2,Stony Brook University,withdrawn
dummystudent3,Stony Brook University,pending
dummystudent4,Stony Brook University,pending
dummystudent5,Stony Brook University,withdrawn
dummystudent6,Stony Brook University,withdrawn
dummystudent7,Stony Brook University,wait-listed
dummystudent8,Stony Brook University,denied
dummystudent9,Stony Brook University,denied
dummystudent10,Stony Brook University,denied
dummystudent11,Stony Brook University,withdrawn
dummystudent12,Stony Brook University,pending
dummystudent13,Stony Brook University,deferred
dummystudent14,Stony Brook University,denied
dummystudent15,Stony Brook University,withdrawn
dummystudent16,Stony Brook University,withdrawn
dummystudent17,Stony Brook University,pending
dummystudent18,Stony Brook University,deferred
dummystudent19,Stony Brook University,withdrawn
dummystudent20,Stony Brook University,wait-listed
dummystudent21,Stony Brook University,accepted
dummystudent22,Stony Brook University,accepted
dummystudent23,Stony Brook University,withdrawn
dummystudent24,Stony Brook University,accepted
dummystudent25,Stony Brook University,denied
dummystudent26,Stony Brook University,wait-listed
dummystudent27,Stony Brook University,denied
dummystudent28,Stony Brook University,denied
dummystudent29,Stony Brook University,deferred
dummystudent30,Stony Brook University,wait-listed
dummystudent31,Stony Brook University,accepted
dummystudent32,Stony Brook University,denied
dummystudent33,Stony Brook University,deferred
dummystudent34,Stony Brook University,denied
dummystudent35,Stony Brook University,wait-listed
dummystudent36,Stony Brook University,wait-listed
dummystudent37,Stony Brook University,denied
dummystudent38,Stony Brook University,denied
dummystudent39,Stony Brook University,withdrawn
dummystudent40,Stony Brook University,denied
dummystudent41,Stony Brook University,accepted
dummystudent42,Stony Brook University,wait-listed
dummystudent43,Stony Brook University,accepted
dummystudent44,Stony Brook University,pending
dummystudent45,Stony Brook University,deferred
dummystudent46,Stony Brook University,accepted
dummystudent47,Stony Brook University,wait-listed
dummystudent48,Stony Brook University,deferred
dummystudent49,Stony Brook University,withdrawn
